key,elev_ft
f2c1119fc3744ac7,7.97906911031708
b5d48451b5126de7,6.45040782452328
0ccc103e2b2a268a,2.2157843589628397
797964500db14925,3.41575105090508
fce3b230f7a457c1,11.841091963560599
58044c1aae5f2970,6.00636063839776
043b176d686ff314,6.09193202565048
bf67a69edb908860,8.49631933028116
06f1fbc04426d723,7.49855944599064
4e167f5593292fa3,8.01506891133784
4add4b01549fba27,7.7339336595593595
8e9f145f55eb24b4,9.72171420873264
e2bd423fe03bb407,10.967853382467359
7de1f557f884e2c8,5.6892208939973195
90dc07e63b54bdb4,5.85346533166784
f90ae223ce0863d3,5.3577036819452
b92adbbdbf970736,7.168722821262639
1a8be69218459557,7.27050049184236
99b2e57cd3e93be2,7.1031060835986
9dfdc2809c66b402,7.354356875759359
e4776782b245ef09,7.10401735987448
bd6b2aeb1e4a4eba,13.976114761540119
dc99825b54f44113,8.61000463575636
f390a048746f37ab,2.52020590085656
966ab20436065c31,5.585966796205
2dc976922a4cc867,10.05810500033704
6dd668a60a3f8691,6.73563326672136
753bd51f9f506291,7.392366962277521
e38c8dd77da40cd2,6.9837708534019205
aa35f5d9f3eecfa0,5.99179973898168
78640dcef15b43ab,6.9705060826362395
24eca074e3044698,7.8089713719343194
aa63d938d3c5aaf0,4.3136981826577605
5a57bec8154ec7fc,6.31863071072636
d4236b14974bf40c,-0.7944802222737599
8b773c2ff3a809a2,8.98470431638192
3e91f3e64b421ac6,4.0623711208095195
8ab9d6b15aac0c7b,10.18478286528312
01cd4a81693ac605,7.279043041328321
5a678427c4d417b9,6.31187043491948
7245d401e28ccdf4,8.733274396918839
41c6987d6b98cb43,10.22642633446348
80646e74514a9eb2,3.14933646560816
9338658a58a57308,9.43283504922604
65938293029dc4ee,4.8069356295437204
13c8c23e060310b4,4.40501492442504
fc6ffc1bb3ecdb93,4.18484067853432
7c61f796cbfd9cd5,5.35095122766088
b16b2d7611178247,5.2709527178830795
40089da7afbda43c,4.71924522647516
db93fe0cd41c945b,12.78266938214252
05b7717d77fe5131,7.5163594924920005
97a1af851505266c,5.0959203894474
78abd00ff69de317,5.99912008042328
6e5e02eff9e387e7,8.31407069255944
83a5ede0892b37a5,4.02205193972928
6635426469e7c737,6.039466246412521
80090513949a73db,3.9119245346304004
02db62e9e85b5e66,2.94352737109576
dd8611a2cadb4e51,3.1912257418829997
033ff0c3d93f6ae5,7.713246467296321
df8b3ef65f36936d,4.73962970219308
86dcad82fb631c42,5.06363727489728
95e207de149abec7,6.1760246398900005
82149cff2505f3e3,3.46006890337312
0514dd7d6034ad24,2.0454230149286
56a2192405c599ac,9.26323088697456
c825593dcdabe75c,3.7665857996645995
d964d2aa9d06eb04,6.01927771558276
bd161e5becc4a689,7.260124435079879
58c0df6237c1affd,4.287940681833519
6f5f059fecd69e25,7.00342005022492
449f7983a1beec77,7.3318979708412
09c536a763793a12,5.72222207943656
72e68ed7dbc1c62a,8.24486359716896
39907650b5b66649,4.24288324600848
294e314ec0e50350,4.78512752517132
bdec4595282477bd,7.24542586505572
511382ad01450e44,4.95183163155572
ef79ad5f91ecb3df,7.38939142412456
3ace6f903a43b1ab,5.58367217342816
c5624edc730457ce,6.978106066475241
84bd52d57aa22595,7.554026967450639
a5ef78b802d3a2f8,8.45189978817732
082e19981161170c,5.3039007110634
a1f70269158ed5a6,4.7416141773222
05b1e87895077602,3.45580349641248
c270895d92076d8e,3.99091437967776
57e53b30e9d6ce13,7.48038159435908
a755a8326c122f67,4.8749381153156
3e087079e8f86b6d,5.02354806757768
078afb78bc0502cf,15.99772134197956
e024617c950bfe74,4.221016867356
3d7a4a143fb90fde,3.60634707734536
c5b32f218b290c52,5.9386503048662
c86e7ff3287580c8,4.9854601496922
9d1615d7d5fd62c1,6.21785935579564
189c2ca8f63c49df,8.25761132395484
6d57cead4201a1c8,8.68869606543984
ff3b6b3daf57205e,11.0090353424466
731fdc2a27a2196f,3.5343486531254
75365e393dc75a50,-0.42349262838116
91685a157b3a6213,4.16228360432168
0b83c80bdba9a21a,4.605367106033159
e8fd4730197dc73e,-1.86863559457324
418017206f462709,6.29087974199056
11e230b4bb1213f6,1.33680120419496
498fa066054f70b8,8.804058434617
5c5514832deed0a1,3.92339451859324
c0ba4b6d8d946144,4.291119205557281
198e978eaa65e29e,3.78709855950736
54e3d77d071b9d39,4.714666538664599
f701645b7dab462d,11.25371476628684
0d13e356d3d152e1,9.96953108674152
23ae855294b2d9ea,3.57702542286376
7f3ed6f701dba4a2,4.6634335317758
0ec98ac7df735d0e,8.01506891133784
77f9dc2e117af4ee,12.56729479847888
f13666ec54c8a0ed,1.9533172147371198
0e80493991023bf8,5.0920175349917995
2f403011ccfac9c9,10.916630933321679
c866b837a757dcec,15.50709687746068
06bd190766884cd7,11.327256103942
faf56e0b983e1d9c,4.2736570790142405
e3d39cc7b87f83b0,6.39444790147272
b8512645ce02d9bd,7.946705821879879
15c9af36ae477cd7,6.7724504791856
f0f613c37a27d377,4.63717541413764
f1f8f64296a73324,9.37854162885348
d5491e62ea73f7c3,6.88129153581812
cc1897945041ad10,4.932528172932759
28d5975e4de659f1,6.78075210674784
9a0248b571ba5a09,6.592140945856639
f3f1096c7083865d,4.042078554543361
f2a6249445194f25,6.96588085611028
3599e14347b71dcb,7.819530470041239
773e0d4846ca2830,7.50225696907484
6b5e124e5099c6c3,7.4157872090899595
bd85ecde9a5ae6cd,12.534435584828959
c2a71ebd6623d55b,6.099144420894399
26d1c364a030644d,5.77875849528772
d10ae49487a72b98,8.016963429115
8ac97e35bcea2cf7,13.597155927234958
d2e5cfe94638f764,6.925330920429479
9f42a27932245b60,5.04870521733284
119f71d9c7494246,8.67831218387396
424c2f261cb57481,6.2830779471214795
66e78d3eac5110e7,3.9302799486035997
7ecdd0649e8ffa5f,8.13471389548144
f9f871af0de45942,11.26283380529256
614d82cf5d5670a6,6.21354740683876
e57b44ffe395aee2,3.9038571787292002
5ab19a81508b4701,7.0522512722599595
d5b638b95150e585,2.95568140035608
2282ef11ff62770c,8.14886491627548
56fe5ad8957a89ad,9.2656588758974
4a2a87865a55c03c,5.91997731214268
3c77eb1ecd0df937,7.592367929963641
e808ae4eb2322d99,6.4452178407614
280ae84fbb2b9dd3,3.34296298099056
99597a170e2ab27c,7.513207953677241
57722386809aea98,11.73410084137048
c6fd839153ec6120,3.69752145690336
402c36a50ab8f738,5.50727458240076
f46cc9ccf96f0df3,-2.5169296015391196
b9b7f3d3c131eabb,5.21699291300676
0ed26d4f9d7ebdc3,7.053012368084841
164a07ff2821a931,12.26748029413416
dc4533ce61765f3c,5.24837765482472
0c44dfda8af708d5,6.25817306115392
2f32e8ed41682835,8.00204505921504
22495cb496bf99cd,15.17634897317596
4d481eb37c729246,5.36346311782504
83acdbb20aeebe41,12.0120297971146
266a891a0fec6b46,6.15556780852672
a4afadb4204a8e0b,6.07992387894076
7c53e2da84851364,6.12020707576788
018f7fdb55f334ce,4.42549874069732
faa1dbb475e5ef0a,7.47752025896568
262108fd92e5d967,-1.8607616409092
1314631e52718e6c,5.54507229686488
e35b746feb07ac87,6.09365211100736
7ad6dc084c37e1fc,5.57564510296132
7c53cd3b891008c7,5.84337830050516
1e915638248237c6,5.36238483695064
a5d82d70a73e7862,7.768182082571319
346bf99686795c96,9.02812340897868
6d79b79e23a47c1f,8.02083851454084
70781f4276dbabc1,6.96233586583936
dae37e933cf335f1,11.597344941325
6e371d1c9eed0e2c,7.18032304145012
bd023e09712f8a75,6.95639182693524
ba2611446c6fea36,7.93785195020548
9d8c9694c13df63f,7.08900356018144
3dffdb9c6afec4cd,-2.17998734994332
4e4c1467e0058954,6.678043602804999
8e4cb6087d46e95e,4.69901054406912
25e8252dd77f665a,7.72086365914112
97d84f521f8dcec5,11.88252814270808
3287f13ea2edeabe,8.575461317721839
5673d9b1eaa61a98,5.02087016066784
